1, 74093119310, George, Charpak, CEO
92, 61090694416, Natalia, Nowak, analyst
93, 03300822455, Alicja, Michalak, analyst
94, 68071991991, Martyna, Wrobel, researcher
95, 68073063609, Jakub, Zalewski, supervisor
96, 80083182109, Robert, Kwiatkowski, supervisor
97, 90111739919, Beata, Pietrzak, researcher
98, 96122165952, Maria, Marciniak, analyst
99, 64060260963, Rafal, Adamczyk, supervisor
100, 65041098649, Jacek, Nowak, researcher
101, 60042546856, Adrianna, Wlodarczyk, supervisor
102, 70060447600, Daniel, Jasinski, researcher
103, 73021128549, Arkadiusz, Baran, researcher
104, 74021719348, Karol, Zielinski, analyst
105, 71081647008, Jan, Krawczyk, supervisor
106, 64072042971, Sylwia, Baran, analyst
107, 72072170802, Dominik, Jablonski, supervisor
108, 94041117528, Michal, Pietrzak, analyst
109, 92092631325, Pawel, Witkowski, supervisor
110, 95061177167, Sebastian, Stepien, supervisor
111, 88053053572, Anna, Adamczyk, analyst
112, 89022691913, Julia, Rutkowska, supervisor
113, 62070689963, Dawid, Grabowski, analyst
114, 89012346102, Mikolaj, Kaminski, researcher
115, 93091026927, Adrian, Jablonski, supervisor
116, 00042959184, lukasz, Jakubowski, researcher
117, 03321324217, Maria, Kwiatkowska, analyst
118, 95021954849, Karol, Kowalczyk, researcher
119, 84100969218, Renata, Jablonska, researcher
120, 98020684269, Hubert, Kucharski, analyst
121, 95072716801, Mikolaj, Kozlowski, supervisor
122, 02210446458, Justyna, Olszewska, researcher
123, 69020134993, Ewelina, Piotrowska, analyst
124, 64061443086, Przemyslaw, Krol, researcher
125, 87103075274, Nadia, Krol, analyst
126, 77080999870, Gabriela, Wojcik, analyst
127, 90012287210, Magdalena, Jankowska, supervisor
128, 71030712649, Wojciech, Mazur, researcher
129, 96060954995, Adrianna, Szewczyk, researcher
130, 85080671337, Karolina, Wozniak, analyst
131, 80040773351, Magdalena, Lewandowska, supervisor
132, 92021635149, Aleksander, Zajac, researcher
133, 89100464831, Izabela, Zielinska, researcher
134, 98100388140, Daniel, Kucharski, researcher
135, 77111528905, Robert, Pawlak, supervisor
136, 60012611665, Grzegorz, Jasinski, supervisor
137, 92091116702, Marcin, Tomczak, researcher
138, 94092894140, Stanislaw, Pietrzak, supervisor
139, 70112252778, Kinga, Kozlowska, supervisor
140, 96031186804, Alan, Mazur, analyst
141, 65093014484, Radoslaw, Zielinski, researcher
142, 02300480340, Hubert, Nowakowski, researcher
143, 78061836791, Zuzanna, Pietrzak, analyst
144, 94110580941, Jan, Zajac, analyst
145, 99020846673, Hanna, Krol, researcher
146, 95080123413, Klaudia, Baran, analyst
147, 92060399930, Daria, Marciniak, analyst
148, 60020280998, Patrycja, Jablonska, researcher
149, 00072534065, Aleksander, Adamczyk, analyst
150, 61061362526, Pawel, Tomczak, researcher
151, 84021690871, Adrianna, Michalak, supervisor
152, 83120862288, Grzegorz, Kowalski, analyst
153, 93021228582, Filip, Kowalczyk, researcher
154, 98061634755, Marzena, Szymanska, researcher
155, 03300753519, Ewelina, Kowalczyk, researcher
156, 73012439641, Mateusz, Piotrowski, researcher
157, 72040247691, Paulina, Dudek, supervisor
158, 63082214873, Magdalena, Nowakowska, supervisor
159, 79110691420, lukasz, Kaczmarek, researcher
160, 65052654591, Zuzanna, Kowalczyk, researcher
161, 96081227564, Kacper, Dudek, researcher
162, 83090293594, Gabriela, Kowalska, supervisor
163, 76040926431, Monika, Wojciechowska, analyst
164, 63020884087, Patryk, Jakubowski, researcher
165, 94030392262, Konrad, Szewczyk, researcher
166, 74091110108, Hubert, Jankowski, supervisor
167, 97032076954, Gabriela, Rutkowska, analyst
168, 94041962593, Lena, Witkowska, researcher
169, 97122574317, Zuzanna, Szewczyk, supervisor
170, 62020332903, Szymon, Piotrowski, supervisor
171, 69032467056, Nina, Kowalczyk, researcher
172, 84013076388, Mateusz, Kwiatkowski, supervisor
173, 74051022713, Aneta, Piotrowska, analyst
174, 02261639289, Ignacy, Stepien, researcher
175, 62112243535, Hanna, Lis, supervisor
176, 60020327208, Hubert, Kowalczyk, analyst
177, 88120962297, Anna, Wieczorek, researcher
178, 63081092315, Patrycja, Wlodarczyk, supervisor
179, 83111488174, Izabela, Kowalska, supervisor
180, 98112836321, Ryszard, Wojciechowski, researcher
181, 92010540676, Ewelina, Wojciechowska, researcher
182, 61050713858, Ewelina, Szewczyk, researcher
183, 89081852906, Konrad, Zielinski, supervisor
184, 69071333525, Szymon, Wisniewski, supervisor
185, 69070796662, Jozef, Wozniak, supervisor
186, 78111434508, Dominik, Nowakowski, supervisor
187, 84110911469, Radoslaw, Krol, supervisor
188, 84080898740, Sebastian, Zielinski, researcher
189, 96073120833, Emilia, Jablonska, analyst
190, 01321744033, Monika, Krol, researcher
191, 72070733760, Pawel, Pietrzak, researcher
